participant_id,location,session_number,method,randomization_seed,agreed_to_descriptions,selected_rank,option_id,cut_id,seal_id,title,subtitle,cut_image_url,seal_image_url,seal_color,screen_started_at,option_selected_at,purchase_confirmed_at,time_spent_before_choice_ms,time_spent_before_choice_seconds,time_taken_to_confirm_ms,time_taken_to_confirm_seconds,changed_preference_before_confirming,initial_selected_option_id,final_confirmed_option_id,gender,age_group,education_level,income_group,timestamp
UFBA-1784294105225-LLTE3I,UFBA,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,UFBA-1784294105225-LLTE3I-session-2,Yes,1,session-2-option-3,cut-3,green-1,Picanha bovina,Comum,/images/cuts/12.png,/images/seals/ufba/cb.png,green,2026-07-17T17:36:55.973Z,2026-07-17T17:37:38.415Z,2026-07-17T17:37:39.113Z,42442,42.442,698,0.698,No,session-2-option-3,session-2-option-3,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T17:38:15.676Z
UFBA-1784294105225-LLTE3I,UFBA,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,UFBA-1784294105225-LLTE3I-session-2,Yes,2,session-2-option-2,cut-2,red-2,Picanha bovina,Bem-estar animal,/images/cuts/12.png,/images/seals/ufba/bea.png,green,2026-07-17T17:37:39.114Z,2026-07-17T17:37:39.453Z,2026-07-17T17:37:40.125Z,339,0.339,672,0.672,No,session-2-option-2,session-2-option-2,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T17:38:15.676Z
UFBA-1784294105225-LLTE3I,UFBA,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,UFBA-1784294105225-LLTE3I-session-2,Yes,3,session-2-option-1,cut-1,red-1,Picanha bovina,Angus,/images/cuts/12.png,/images/seals/ufba/a.png,green,2026-07-17T17:37:40.125Z,2026-07-17T17:37:40.425Z,2026-07-17T17:37:41.000Z,300,0.3,575,0.575,No,session-2-option-1,session-2-option-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T17:38:15.676Z
UFBA-1784294105225-LLTE3I,UFBA,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,UFBA-1784294105225-LLTE3I-session-2,Yes,4,session-2-option-4,cut-4,green-2,Picanha bovina,Cultivada,/images/cuts/12.png,/images/seals/ufba/cc.png,green,2026-07-17T17:37:41.001Z,2026-07-17T17:37:41.314Z,2026-07-17T17:37:41.990Z,313,0.313,676,0.676,No,session-2-option-4,session-2-option-4,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T17:38:15.676Z
UFBA-1784294105225-LLTE3I,UFBA,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,UFBA-1784294105225-LLTE3I-session-2,Yes,5,session-2-option-5,cut-5,green-3,Picanha bovina,Orgânica,/images/cuts/12.png,/images/seals/ufba/o.png,green,2026-07-17T17:37:41.990Z,2026-07-17T17:37:42.899Z,2026-07-17T17:37:43.521Z,909,0.909,622,0.622,No,session-2-option-5,session-2-option-5,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T17:38:15.676Z
PUCPR-1784315164667-7XGM9A,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1784315164667-7XGM9A-session-2,Yes,1,session-2-option-2,cut-2,red-2,Picanha bovina,Bem-estar animal,/images/cuts/13.png,/images/seals/pucpr/bea.png,red,2026-07-17T19:19:35.343Z,2026-07-17T19:19:36.363Z,2026-07-17T19:19:36.970Z,1020,1.02,607,0.607,No,session-2-option-2,session-2-option-2,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T19:20:49.255Z
PUCPR-1784315164667-7XGM9A,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1784315164667-7XGM9A-session-2,Yes,2,session-2-option-4,cut-4,green-2,Picanha bovina,Cultivada,/images/cuts/13.png,/images/seals/pucpr/cc.png,red,2026-07-17T19:19:36.970Z,2026-07-17T19:19:37.269Z,2026-07-17T19:19:37.674Z,299,0.299,405,0.405,No,session-2-option-4,session-2-option-4,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T19:20:49.255Z
PUCPR-1784315164667-7XGM9A,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1784315164667-7XGM9A-session-2,Yes,3,session-2-option-1,cut-1,red-1,Picanha bovina,Angus,/images/cuts/13.png,/images/seals/pucpr/a.png,red,2026-07-17T19:19:37.675Z,2026-07-17T19:19:37.997Z,2026-07-17T19:19:38.365Z,322,0.322,368,0.368,No,session-2-option-1,session-2-option-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T19:20:49.255Z
PUCPR-1784315164667-7XGM9A,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1784315164667-7XGM9A-session-2,Yes,4,session-2-option-3,cut-3,green-1,Picanha bovina,Comum,/images/cuts/13.png,/images/seals/pucpr/cb.png,red,2026-07-17T19:19:38.365Z,2026-07-17T19:19:38.717Z,2026-07-17T19:19:39.085Z,352,0.352,368,0.368,No,session-2-option-3,session-2-option-3,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T19:20:49.255Z
PUCPR-1784315164667-7XGM9A,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1784315164667-7XGM9A-session-2,Yes,5,session-2-option-5,cut-5,green-3,Picanha bovina,Orgânica,/images/cuts/13.png,/images/seals/pucpr/o.png,red,2026-07-17T19:19:39.085Z,2026-07-17T19:19:39.443Z,2026-07-17T19:19:39.983Z,358,0.358,540,0.54,No,session-2-option-5,session-2-option-5,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T19:20:49.255Z
